idx	offset	len	original_en	translation_zh	notes
0	0x0200	7	Objects	物品
169	0x810C	191	Rubber Stamp\rFound in beaurocracies all\racross the universe, the\rrubber stamp is the friend of\rpaper-pushers everywhere.\rThis particular stamp bears\rthe seal of the Numistat of\rAlhena sector.	橡皮章\r在宇宙各處的官僚體\r系都能見到，橡皮章\r是各地紙上行政者的\r好友。這枚特定印章\r帶有 Alhena 星區\rNumistat 的印璽。
170	0x81CD	317	Alien Regen\rReminiscent of the chemicals\rfound in some zombie movies,\rthis stange spray-on mist\rwill literaly bring the dead\rback to life.  Unfortunately,\rit only makes dead humans\rtwitch a little.  Remember\rthat most aliens don't like\rgetting killed, and may still\rbe a little upset when you\rwake them from the dead.	異星再生劑\r令人聯想到某些殭屍\r電影中的化學物，這\r種怪異噴霧真的能令\r死者復活。可惜，對\r死去的人類只能讓他\r抽搐一下。請記住多\r數異族不喜歡被殺，\r你把他們從死中喚醒\r後，或許還會有點不\r爽。
171	0x830C	68	Ship Plans\rA technical readout of\rsystems designed for a space\rship.	船艦圖紙\r為太空船設計之系統\r的技術讀本。
172	0x8352	200	Last Stanza\rThe phrases written on the\rscrap of paper appear to be\rpart of a poem:  Replace my\rname And Secundus fear The\rrevenge of Conciere!  So now\rI claim Defender Last And\rSecundus learn to fear!	末段詩節\r寫於碎紙上的字句似\r為一首詩的片段：替\r換吾名，令 Secundus 畏\r懼 Conciere 之復仇！\r我今宣告守護者最末\r位，Secundus 學會懼怕！
173	0x841C	88	Used Eyeballs\rThese cybernetic eyeballs\rrequire cybernetic sockets\rto function properly.	用過的眼球\r這些機械眼球需要機\r械眼窩才能正常運作。
174	0x8476	135	Jar of Uru\rA clear jar filled with a\rsemi-solid jell not\raltogether unlike jam. The \rlid of the jar bears the mark\rof the Ethnys Queen.	Uru 罐\r透明的罐子裝著一種\r半固態果凍，類似果\r醬。罐蓋上印著 Ethnys\r女王的徽記。
175	0x84FF	109	Sphere of Themi\rA pearl-like sphere, cold to\rthe touch. Scans determine\rpossible origins in the Ankaq\rsector.	Themi 之球\r一顆珍珠般的球體，\r觸感冰涼。掃描判定\r可能來自 Ankaq 星區。
176	0x856E	153	Golden Trident\rA golden trident with a\rwooden shaft. The artifact\rappears to be ceremonial.\rAnalysis of the metal reveals\rit to be from the Ankaq\rsector.	金色三叉戟\r金色三叉戟配木製柄。\r此文物似為儀式用。\r金屬成分分析顯示來\r自 Ankaq 星區。
177	0x8609	105	Coral Instrument\rA delicately crafted musical \rinstrument, made of coral.\rThe design is completely\ralien.	珊瑚樂器\r精雕細琢的樂器，以\r珊瑚製成。設計完全\r異於人類。
178	0x8674	139	Grav Buoy\rA black, rectangular box full\rof wires with a focusing\rmechanism on one end. The\rmetal of the box is unique to\rthe Zaurak sector.	重力浮標\r黑色長方盒，內部布\r滿電線，一端有聚焦\r機制。盒子的金屬為\rZaurak 星區特有。
179	0x8701	119	Wet Suit\rA diving suit with self\rcontained breathing device.\rMuch like an advanced version\rof standard S.C.U.B.A. gear.	潛水服\r附自給式呼吸裝置的\r潛水服。類似標準\rS.C.U.B.A. 裝備的進階\r版本。
180	0x877A	160	Fake Sphere\rA pearl-like sphere. Scans\rdetermine the material of the\rsphere to be an artificial\rrepresentation of another \rsubstance found in the Ankaq \rsystem.	假球體\r珍珠般的球體。掃描\r判定此球體材質為人\r造，模仿 Ankaq 星系\r中另一種物質的外觀。
181	0x881C	36	Anti-Mat Grenade\rA powerful grenade.	反物質手榴彈\r強力手榴彈。
182	0x8842	84	Mind Net Key\rA thin plastic card with a\rholograph of the word\r'MindNet' on its face.	心網鑰\r薄塑膠卡，正面有「\rMindNet」字樣的全像圖。
183	0x8898	135	Control Spike\rA long, thin silver spike\rwith a diamond tip. The tip\ris cut in an intricate shape\rthat suggests its use may be\ras a key.	控制針\r細長銀色針狀物，尖\r端為鑽石。尖端切成\r複雜形狀，暗示其用\r途可能是鑰匙。
184	0x8921	144	Control Crystals\rTranslucent crystals grown in\rstrange formations.\rSpectrograph shows the\rcrystals to contain trace \relements found on Alnasl 1.	控制水晶\r半透明的水晶以奇異\r結構生長。光譜儀顯\r示水晶含有 Alnasl 1 上\r發現的微量元素。
185	0x89B3	95	P.C. Strandware\rA vial of genetic material\rsuspended in fluid. The vial\ris labeled 'Proconsul.'	P.C. 鏈件\r一小瓶懸浮於液體中\r的基因物質。瓶上標\r示「Proconsul」。
186	0x8A14	104	Regular Strandware\rA vial of genetic material\rsuspended in fluid. The vial\ris labeled 'Standard Ominar.'	標準鏈件\r一小瓶懸浮於液體中\r的基因物質。瓶上標\r示「標準 Ominar」。
187	0x8A7E	99	Gold Sphere\rA golden globe.\rRadiospectrograph identifies\rthe metal as coming from the\rAlrai system.	金色球體\r金色球體。輻射光譜\r儀判定其金屬來自\rAlrai 星系。
188	0x8AE3	105	Platinum Sphere\rA platinum globe.\rRadiospectrograph identifies\rthe metal as coming from the\rAlrai system.	白金球體\r白金球體。輻射光譜\r儀判定其金屬來自\rAlrai 星系。
189	0x8B4E	101	Bronze Sphere\rA bronze globe.\rRadiospectrograph identifies\rthe metal as coming from the\rAlrai system.	青銅球體\r青銅球體。輻射光譜\r儀判定其金屬來自\rAlrai 星系。
190	0x8BB5	105	Invisible Idiot\rA flat plastic card with the\rwords Invisible Idiot written\rin the language of the\rUtrece.	隱形傻瓜\r平塑膠卡，上面以\rUtrece 語寫著「隱形\r傻瓜」字樣。
191	0x8C20	107	Marathon Victory\rA flat plastic card with the\rwords Marathon Victory\rwritten in the language of\rthe Utrece.	馬拉松勝利\r平塑膠卡，上面以\rUtrece 語寫著「馬拉\r松勝利」字樣。
192	0x8C8D	97	Blind Faith\rA flat plastic card with the\rwords Blind Faith written in\rthe language of the Utrece.	盲目信仰\r平塑膠卡，上面以\rUtrece 語寫著「盲目\r信仰」字樣。
193	0x8CF0	105	Virtual Reality\rA flat plastic card with the\rwords Virtual Reality written\rin the language of the\rUtrece.	虛擬實境\r平塑膠卡，上面以\rUtrece 語寫著「虛擬\r實境」字樣。
194	0x8D5B	97	Cold Reason\rA flat plastic card with the\rwords Cold Reason written in\rthe language of the Utrece.	冷酷理性\r平塑膠卡，上面以\rUtrece 語寫著「冷酷\r理性」字樣。
195	0x8DBE	108	Sphere of Rhys\rA pearl-like sphere, cold to\rthe touch. Scans determine\rpossible origins in the Ankaq\rsector.	Rhys 之球\r一顆珍珠般的球體，\r觸感冰涼。掃描判定\r可能來自 Ankaq 星區。
196	0x8E2C	107	Sphere of Awa\rA pearl-like sphere, cold to\rthe touch. Scans determine\rpossible origins in the Ankaq\rsector.	Awa 之球\r一顆珍珠般的球體，\r觸感冰涼。掃描判定\r可能來自 Ankaq 星區。
197	0x8E99	101	Silver Sphere\rA silver globe.\rRadiospectrograph identifies\rthe metal as coming from the\rAlrai system.	銀色球體\r銀色球體。輻射光譜\r儀判定其金屬來自\rAlrai 星系。
198	0x8F00	19	Utrecian Key\rA key.	Utrece 鑰匙\r鑰匙。
199	0x8F15	162	Mintap\rA small box with three wires \rdangling from one end. The \rconnecters on the ends of the\rwires would suggest this to\rbe some kind of cybernetic\rdata module.	Mintap\r小盒子，一端垂著三\r條電線。線端的連接\r器顯示此物為某種數\r位資料模組。
200	0x8FB9	137	Commnet\rA container with twenty\rreceptacles, or jacks, on\ropposite sides. The device\rappears to be a \rcommunications networking \rstation.	通訊網\r一個容器，兩側共有\r二十個插座或插孔。\r此裝置看似為通訊網\r路站點。
201	0x9044	38	Tschi Tai Pin\rAn identification badge.	Tschi Tai 別針\r身分識別徽章。
202	0x906C	110	Sphere of Harmon\rA pearl-like sphere, cold to\rthe touch. Scans determine\rpossible origins in the Ankaq\rsector.	Harmon 之球\r一顆珍珠般的球體，\r觸感冰涼。掃描判定\r可能來自 Ankaq 星區。
203	0x90DC	96	Datatape\rA cartridge somewhat like a \rcassette, with magnetic tape\rwound around a graphite core.	資料帶\r類似卡帶的匣式儲存\r裝置，磁帶纏繞在石\r墨芯上。
204	0x913E	67	Death Threat\rA formal letter addressed to\rMovrin Sepo from Wiretap.	死亡威脅\r一封由 Wiretap 寄給\rMovrin Sepo 的正式信函。
205	0x9183	147	Hataphas Gem\rA gem that looks rather like\ran eyeball. Analysis of the\rmaterial of the gem suggests\rit may originate from Izar 2\rin the Izar sector.	Hataphas 寶石\r一顆相當像眼球的寶\r石。材質分析顯示可\r能源自 Izar 星區的\rIzar 2。
206	0x9218	116	N.I.C.T.U.\rA mechanical device that\rlooks exactly like one of the\rpieces found on the plans for\rthe Centauri device.	N.I.C.T.U.\r一個機械裝置，外觀\r與半人馬裝置圖紙上\r的某個零件一模一樣。
207	0x928E	101	Weird Science\rA flat plastic card with the\rwords Weird Science written\rin the language of the\rUtrece.	怪異科學\r平塑膠卡，上面以\rUtrece 語寫著「怪異\r科學」字樣。
208	0x92F5	128	Star Stone\rA leather pouch containing\r107 sparkling stones. The\rmaterial of the stones is\rknown to be unique to the\rIzar system.	星石\r裝著 107 顆閃亮石頭\r的皮袋。已知此石頭\r的材質為 Izar 星系所\r特有。
209	0x9377	131	Jammer\rA small, electro-mechanical\rdevice with a small antenna\rprotruding from one end and a\rred dial in the middle of a\rpalm grip.	干擾器\r一個小型機電裝置，\r一端伸出小天線，掌\r握把中央有紅色旋鈕。
210	0x93FC	72	Letters\rStationary with writing that\rappears to be in some sort of\rcode.	信件\r一張信紙，上面似乎\r以某種密碼書寫。
211	0x9446	38	Official Papers\rIdentification papers.	官方文件\r身分證件。
212	0x946E	114	Algo Cam\rA mechanical device that\rlooks exactly like one of the\rpieces found on the plans for\rthe Centauri device.	阿戈凸輪\r一個機械裝置，外觀\r與半人馬裝置圖紙上\r的某個零件一模一樣。
213	0x94E2	32	ISC Pin\rAn identification badge.	ISC 別針\r身分識別徽章。
214	0x9504	68	Funny Hat\rA workers cap with a brim\rthat goes all the way around\rit.	滑稽帽\r一頂工人帽，帽簷環\r繞一圈。
215	0x954A	76	Maint Card\rA thin plastic card with\rholographic code printed on\rthe surface.	維護卡\r薄塑膠卡，表面印有\r全像碼。
216	0x9598	78	Nav Beacon\rA small cylindrical shaped\rdevice with flashing lights\ron its ends.	導航信標\r小型圓柱狀裝置，兩\r端有閃爍燈光。
217	0x95E8	155	ID Case\rA wooden box with a bottle of\rreddish liquid. Scans\rindicate the liquid to be a\rdistillate of fruits\rindigenous to Vindemiatrix in\rthe Izar sector.	證件盒\r木盒內裝一瓶紅色液\r體。掃描顯示液體為\rIzar 星區 Vindemiatrix\r原生水果的蒸餾液。
218	0x9685	122	Cevitic Balancer\rA clear plastic globe with\rsmaller globes floating\rinside. Appears to be part of\ra transport beam device.	Cevitic 平衡器\r透明塑膠球體，內部\r漂浮著較小球體。似\r為傳送光束裝置的一\r部分。
219	0x9701	120	Optical Key\rA thin plastic card with a \rholographic code printed on\rthe surface. The holographic\ris of Eth/Muni symbols.	光學鑰匙\r薄塑膠卡，表面印有\r全像碼。全像圖為\rEth/Muni 符號。
220	0x977B	11	Ship Hull 1	船體 1
221	0x9788	11	Ship Hull 2	船體 2
222	0x9795	11	Ship Hull 3	船體 3
223	0x97A2	11	Ship Hull 4	船體 4
224	0x97AF	11	Ship Hull 5	船體 5
225	0x97BC	11	Ship Hull 6	船體 6
226	0x97C9	11	Ship Hull 7	船體 7
227	0x97D6	6	Ship 7	船艦7
228	0x97DE	7	Alien 1	外星1
229	0x97E7	7	Alien 2	外星2
230	0x97F0	7	Alien 3	外星3
231	0x97F9	7	Alien 4	外星4
232	0x9802	7	Alien 5	外星5
233	0x980B	7	Alien 6	外星6
234	0x9814	7	Alien 7	外星7
235	0x981D	7	Torp -1	魚雷-1
236	0x9826	7	Torp -2	魚雷-2
237	0x982F	7	Torp -3	魚雷-3
238	0x9838	7	Torp -4	魚雷-4
239	0x9841	7	Beam -1	光束-1
240	0x984A	7	Beam -2	光束-2
241	0x9853	7	Beam -3	光束-3
242	0x985C	7	Beam -4	光束-4
243	0x9865	7	Bolt -1	螺栓-1
244	0x986E	7	Bolt -2	螺栓-2
245	0x9877	7	Bolt -3	螺栓-3
246	0x9880	7	Bolt -4	螺栓-4
247	0x9889	7	Proj -1	投射-1
248	0x9892	7	Proj -2	投射-2
249	0x989B	7	Proj -3	投射-3
250	0x98A4	7	Proj -4	投射-4
255	0x0200	7	Objects	物品
